video_id,title,publishedAt,duration,dimension,definition,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,tags,dateExtract
9b4B0jqx-8Q,Bất ngờ trước công thức chiếm đoạt 8600 tỷ của Tân Hoàng Minh,2024-07-07T05:15:01Z,PT1M,2d,hd,3342,79,,0,1,[],2024-07-08 15:21:22.681504
JIlrsF7cy7k,The Creator x YouTube | Phê Game | Khi công việc bắt bạn PHẢI CHƠI GAME,2024-07-06T13:00:15Z,PT34S,2d,hd,5307,161,,0,2,[],2024-07-08 15:21:22.763609
RfxfT5W6F9E,Tưởng Giới Thạch thâu tóm quyền lực tại Trung Quốc ra sao? | Mr.Backturn | Thế giới,2024-07-06T11:00:32Z,PT16M52S,2d,hd,11024,209,,0,25,"['spiderum', 'thế giới', 'Tưởng Giới Thạch đã thâu tóm quyền lực như thế nào? | Mr.Backturn | THẾ GIỚI', 'tưởng giới thạch', 'đài loan', 'lãnh đạo đài loan', 'quốc dân đảng', 'tiểu sử về tưởng giới thạch', 'lịch sử Trung Hoa', 'Phong trào Hộ pháp', 'Tổng thống khai quốc của Đài Loan', 'tưởng giới thạch là ai', 'Tưởng Giới Thạch đã thâu tóm quyền lực như thế nào?']",2024-07-08 15:21:22.836912
Y1BXW0K0Y9c,Kế hoạch thao túng thị trường chứng khoán của Trịnh Văn Quyết tinh vi như thế nào?,2024-07-06T05:15:00Z,PT56S,2d,hd,8334,169,,0,5,[],2024-07-08 15:21:22.928375
Yc6mdibqaSk,Hành vi lừa đảo chiếm đoạt tài sản của Trịnh Văn Quyết tinh vi tới mức nào?,2024-07-05T05:15:01Z,PT1M,2d,hd,13464,225,,0,4,[],2024-07-08 15:21:22.994418
eTab_UNJsNk,Low G: Khi THỜI THẾ chạm đúng ANH TÀI | Cu Bốb Mê Nhạc | Giải trí,2024-07-04T11:00:38Z,PT15M5S,2d,hd,42725,1252,,0,198,"['spiderum', 'giải trí', 'low g', 'Âm nhạc của LOW G có gì mà CUỐN thế? | Cu Bốb Mê Nhạc | Giải trí', 'Nguyễn Hoàng Long đã trở thành Low G như thế nào?', 'rapper low g', 'hiện tượng rap chưa từng flop', 'hành trình phát triển của low g', 'low g là ai', 'tiểu sử về low g']",2024-07-08 15:21:23.074154
JN8POJ7lY_Y,Thương vụ chuyển nhượng thế kỷ biến Real Madrid thành ông vua của bóng đá Châu Âu,2024-07-04T05:15:00Z,PT59S,2d,hd,10597,225,,0,0,[],2024-07-08 15:21:23.141057
MgDyalkUoI0,The Creator x YouTube EP02 | Phê Game | Game chính là một môn nghệ thuật,2024-07-03T12:00:18Z,PT58S,2d,hd,2910,60,,0,0,[],2024-07-08 15:21:23.248892
rOllEMx8IAo,Một CUỘC KHỦNG HOẢNG đang xảy ra với NỮ GIỚI VIỆT NAM ?? | Narcy Nguyen | Quan điểm,2024-07-03T11:00:55Z,PT21M11S,2d,hd,30646,1053,,0,348,"['spiderum', 'quan điểm', 'khủng hoảng tính nữ', 'Một CUỘC KHỦNG HOẢNG đang xảy ra với NỮ GIỚI VIỆT NAM ?? | Narcy Nguyen | Quan điểm', 'Khủng hoảng tính nữ và các định nghĩa nền tảng', 'thế nào là khủng hoảng tính nữ', 'Dấu hiệu của khủng hoảng tính nữ', 'Cách đương đầu với khủng hoảng tính nữ', 'phụ nữ việt nam bị khủng hoảng như thế nào']",2024-07-08 15:21:23.314563
1goBPTWE0FU,SPIDERUM NEWS: RÚNG ĐỘNG VẤN NẠN CAMERA QUAY LÉN | TRUMP DẪN TRƯỚC BIDEN TRONG THƯỢNG ĐÀI KỊCH TÍNH,2024-07-02T11:30:01Z,PT9M54S,2d,hd,6759,197,,0,7,"['SPIDERUM NEWS: RÚNG ĐỘNG VẤN NẠN CAMERA QUAY LÉN | TRUMP DẪN TRƯỚC BIDEN TRONG THƯỢNG ĐÀI KỊCH TÍNH', 'spiderum', 'spiderum news', 'VẤN NẠN CAMERA QUAY LÉN', 'camera quay lén', 'donald trump', 'biden vs trump', 'châu bùi bị quay lén', 'sinh trắc học giao dịch trực tuyến ngân hàng', 'Đèn giao thông đếm ngược là con dao hai lưỡi?']",2024-07-08 15:21:23.401790
